Business Name,Note,Contact Name,Demo URL,Demo Site Name,CH Number,Email Address,Address,Town,Postcode,Date Added,Trade Category,Business Type,Email Source URL,Data Source,Date First Contacted,Do Not Contact,Prospect Segment,Email Thread ID,Last Email Sent,Website URL,Campaign_URL,utm_campaign,utm_content,utm_medium,utm_source
"Sarsen, kitchen and bathroom installations",,,,,,gazzastrat123@gmail.com,,,,06/04/2026 12:00,Kitchen Fitter,Individual - Sole Trader,,Facebook - test import,,No,B - Growth Phase,,,,,,,,
MARS Painting and Decorating | Devizes,,,,,,steveclarke1990@outlook.com,,Devizes,SN10 5HQ,06/04/2026 22:00,Painter & Decorator,Unknown,,https://www.facebook.com/p/MARS-Painting-and-Decorating-61568744271140/,,No,,,,,,,,,
C.R.S Painting | Gillingham,,,,,,crspaintingdorset@gmail.com,,Gillingham,SP8 4UW,06/04/2026 22:00,Painter & Decorator,Unknown,,https://www.facebook.com/c.r.spaintingdorset/,,No,,,,,,,,,
"Different Strokes, Painting and Decorating | Swindon",,,,,,ryanwheeler8@msn.com,,Swindon,SN25 1QJ,06/04/2026 22:00,Painter & Decorator,Unknown,,https://www.facebook.com/differentstrokespaintinganddecorating/,,No,A - Established,,,,,,,,
Handy Harris Handyman Services | Rhondda,,,,,,leeharris799@googlemail.com,,Rhondda,,07/04/2026 00:00,Carpenter / Joiner,Individual - Sole Trader,,https://www.facebook.com/p/Handy-Harris-Handyman-Services-100057660210402/,,No,A - Established,,,,,,,,
S Lucas Carpentry,,,,,,s.lucas2002@outlook.com,,trowbridge,,07/04/2026 00:00,Carpenter / Joiner,Individual - Sole Trader,,https://www.facebook.com/p/S-Lucas-Carpentry-61572973542668/,,No,B - Growth Phase,,,,,,,,
Maagi Bespoke Carpentry | Corsham,,,,,,maagibespokecarpentry@gmail.com,,United Kingdom,,07/04/2026 00:01,Carpenter / Joiner,Unknown,,https://www.facebook.com/MaagiBespoke/,,No,,,,,,,,,
Stu Flippance Carpentry  | Melksham,,,,,,stu_flippance@hotmail.co.uk,,Melksham,,07/04/2026 00:01,Carpenter / Joiner,Unknown,,https://www.facebook.com/people/Stu-Flippance-Carpentry/61552213972420/,,No,,,,,,,,,
Dead on Carpentry  | Melksham,,,,,,deadoncarpentry576@gmail.com,,Melksham,,07/04/2026 00:01,Carpenter / Joiner,Unknown,,https://www.facebook.com/p/Dead-on-Carpentry-100095668147506/,,No,,,,,,,,,
AC Carpentry | Chippenham,,,,,,ac.carpentry366@yahoo.com,,Chippenham,SN14 0PJ,07/04/2026 00:01,Carpenter / Joiner,Unknown,,https://www.facebook.com/people/AC-Carpentry/61574235400762/,,No,,,,,,,,,
24 8 Woodwork,,,,,,248woodwork@gmail.com,,,SN3 2AQ,07/04/2026 00:01,Carpenter / Joiner,Unknown,,https://www.facebook.com/B.R.Planters/,,No,,,,,,,,,
L.T.M Carpentry,,,,,,ltmcarpentry3@gmail.com,,,,07/04/2026 00:01,Carpenter / Joiner,Unknown,,https://www.facebook.com/ltmcarpentry/,,No,,,,,,,,,
Bath & Wiltshire Tiling | Trowbridge,,,,,,bathandwiltshiretiling@gmail.com,,Trowbridge,BA14 9QP,07/04/2026 02:00,Tiler,Unknown,,https://www.facebook.com/Bathandwiltshiretiling,,No,,,,,,,,,
Wiltshire Expert Tiling | Melksham,,,,,,wilts.expert@gmail.com,,United Kingdom,,07/04/2026 02:00,Tiler,Unknown,,https://www.facebook.com/WiltshireExpertTiling/,,No,,,,,,,,,
JW Tiling & Bathroom Installations | Castle Cary,,,,,,jameswenglorz@hotmail.co.uk,,United Kingdom,,07/04/2026 02:00,Tiler,Unknown,,https://www.facebook.com/jwtilingandbathrooms/,,No,,,,,,,,,
ACC Tiling and Flooring | Salisbury,,,,,,ash.c.coleman@googlemail.com,,Salisbury,,07/04/2026 02:00,Tiler,Unknown,,https://www.facebook.com/people/ACC-Tiling-and-Flooring/61555515323086/,,No,,,,,,,,,
Dempsey’s Roofing | Salisbury,,,,,15471478,dempseysroofing@gmail.com,,Salisbury,,07/04/2026 04:00,Roofer,Corporate - Ltd,,https://www.facebook.com/jjroofing/,,No,B - Growth Phase,,,,,,,,
Triton roofing & fascias | Calne,,,,,,triton_roofingandfascias@hotmail.com,,Calne,,07/04/2026 04:00,Roofer,Unknown,,https://www.facebook.com/tritonroofingandfascias/,,No,,,,,,,,,
B J Hammond Roofing,,,,,,enquiries@bjhammondroofingltd.co.uk,,,,07/04/2026 04:00,Roofer,Unknown,,https://www.facebook.com/bjhammondroofingltd/,,No,,,,,,,,,
Brandon Roofing Services | Shrivenham,,,,,,brandonroofingservices@gmail.com,,Shrivenham,SN6 8EE,07/04/2026 04:01,Roofer,Unknown,,https://www.facebook.com/p/Brandon-Roofing-Services-61553651092896/,,No,,,,,,,,,
JTL Electricals | Westbury,,,,,,jtlelectricals@gmail.com,,Westbury,,07/04/2026 06:00,Electrician,Unknown,,https://www.facebook.com/JTLElectricals/,,No,,,,,,,,,
Repair It Ross Handyman Services | Shepton Mallet,,,,,,ross.buildaid@gmail.com,,Shepton Mallet,BA4 4SA,07/04/2026 10:30,Handyman,Unknown,,https://www.facebook.com/RepairitRoss/,,No,,,,,,,,,
The Veteran Handyman | Padstow,,,,,11559707,dave0872@icloud.com,,Padstow,,07/04/2026 10:30,Handyman,Unknown,,https://www.facebook.com/p/The-Veteran-Handyman-100090534600789/,,No,B - Growth Phase,,,,,,,,
Eco Cleaning Co | Bradford-on-Avon,,,,,,ecocleaningwiltshire@gmail.com,,United Kingdom,,07/04/2026 12:00,Commercial Cleaner,Unknown,,https://www.facebook.com/ecocleaningwiltshire/,,No,,,,,,,,,
